,item_name,review_title,review_content,review_date,review_star,dog_breed,dog_age
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['잘 안먹어요'], '진짜 다른사료 다 환장하고 먹는앤데 \n이건 진짜 냄새만 맡고 안먹다가 다른사료들이 몽땅 떨어져서 이것밖에 없으니까 배고파서 먹은거 같은데 점심 한끼 먹였는데 애기 피부가 엉망됐어요\n이상하게 피부 비듬같은 각질이 막 엄청 심하게 생겼어요 너무 짜증나요 정말 ㅜㅜ\n\n울 토리 간지러워서 긁고 흔들고 털고 난리났네요\n정말 너무 화나요...', ['2017.09.27.'], '1 Star', ['닥스훈트'], [' · 0살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['좋아여~~'], '따로포장되어있어 좋아여따로포장되어있어 좋아여따로포장되어있어 좋아여', ['2015.05.30.'], '5 Stars', ['말티즈'], [' · 10살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['알러지있는 강아지는 성분보고 구매하세요..'], '예전에산건데 혹시 저희 강아지 같은 강아지 있을까봐 후기 적어봐요...\n아무것도 모르고 처음 키워보는 강아지\n밥잘 안먹어서 기호성 좋은 사료 찾는다고 \n찾는 사료인데 어쩌다 피부 뒤집어져서\n 식이 피부알러지가 왔네요....ㅜㅜ \n그뒤로 주기적으로 알러지가 올라와서 너무 힘드네요ㅜㅜ 건강했었는데.........피부 예민한 강아지 한텐 잘 안맞는 사료인거 같으니\n성분 잘 보고 구매하세요', ['2017.09.06.'], '1 Star', ['말티즈'], [' · 4살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['저희 강아지가 좋아하네요'], '용량도 크고 가격도 저렴하고 저희강아지가 밥을 참 잘먹습니다', ['2014.01.19.'], '5 Stars', ['슈나우져(스탠다드)'], [' · 0살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['대용량!'], '원래 먹이던 것보다 1kg 더 많고 더 저렴한 대용량 착한가격!\n일단 너무 놀랬어요..... 뜯었는데 알이 원래 먹이던것보다 너무너무 커요 ㅠㅠㅠㅠ\n그래서 잘 먹을수있을까 걱정했는데 1알 먹을때 알아서 반 쪼개서 먹더라구요 ㅋㅋㅋ\n그래도 너무 커서 원래 작은알을 먹이는데 비교해서 찍었어요 ㅋㅋㅋㅋ\n\n아이가 좋아하긴해서 다행이에요^^', ['2015.11.02.'], '5 Stars', ['미니어처 푸들'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['눈물자국이 사라졌어요'], '눈물 자국 엄청 심한데 이제 거의 사라졌어요 맘마 바꾸고부터 그런 거 같아요 짱', ['2018.07.16.'], '5 Stars', ['포메라니안'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['음'], '동물병원에서 이 사료는 비 추하셧어요  ㅠㅠ', ['2019.07.01.'], '3 Stars', ['기타견종 (중형견)'], [' · 3살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['가성비 굿'], '믿고먹는 내츄럴코어!! 원래 오리고기 작은알갱이먹이다가 사료값줄여볼려고\n샀어요 첨에너무 싸서 반신반의했는데 울애기가 다행이도 너무잘먹네요\n이걸로 쭉 먹일려구요 ㅎㅎ 변냄새도 양호해요 근데 내츄럴코어 작은알갱이보다는 알갱이가 조금커요\n그래도 4개월 푸들인데 잘먹어요!', ['2015.07.25.'], '5 Stars', ['푸들'], [' · 1살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['개솔직후기'], '두마리 둘다 밥을 살려고 먹습니다\n사료 시킬때마다 이것 저것 시키는데 최악 입니다 \n설사에 밥도 안먹고 배변 냄새에 절대 안삽니다 둘다 먹지않아서 이 사료는 거릅니다 가격이 싼 이유는 다 있겠죠?', ['2019.07.17.'], '1 Star', ['비글'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['똥이 좀 묽어요'], '잘 먹는데  이거먹는 동안 피부병도 생기고 똥도 묽어서 바꾸려구요', ['2018.05.24.'], '2 Stars', ['기타견종 (중형견)'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['소포장이라 좋아요.'], '작은아이에 식성도 그리 까다롭지않아서 이것저것 먹였었는데 아무래도 여름엔 습기때문에 시간이지나면  오도독소리가 안들리고 먹는양도 줄어들더라구요. 그래서 폭풍검색끝에 구매평이 좋아서 구매해보니 소포장에 믿을수있는재료로 만들어 맛도 좋고 두고두고 먹여도 처음그대로인것이 Good!', ['2018.05.08.'], '5 Stars', ['포메라니안'], [' · 3살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['음'], '싸고 좋긴한데 사료가 몇개씩 이상한게 들어있어요; ', ['2017.03.21.'], '3 Stars', ['토이 푸들'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['모르겠어요'], '모르겠어요', ['2017.03.18.'], '1 Star', ['요크셔 테리어'], [' · 7살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['벌써 두번째'], '두번이나 시켰네요\n무난하고 별 탈없이 잘먹네요', ['2015.08.03.'], '5 Stars', ['푸들'], [' · 6살']
